Key,Country,Region,Region_names,Income,Indicator,Indicator type,Indicator key word,Score,Evidence,Link,Numerical score,Comments 
United States-Are climate-related expenditures identified in the budget and/or tracked?,United States,,,High income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,No,"The USA do not use Climate Budget Tagging. 
",https://www.undp.org/sites/g/files/zskgke326/files/2022-09/UNDP-Global-Climate-Public-Finance-Review-2022.pdf,0.0,
"United States-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",United States,,,High income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,Yes,The Council on Environmental Quality (CEQ) has issued guidance on considering greenhouse gas (GHG) emissions and climate change in National Environmental Policy Act (NEPA) reviews.,https://www.federalregister.gov/documents/2016/08/05/2016-18620/final-guidance-for-federal-departments-and-agencies-on-consideration-of-greenhouse-gas-emissions-and,1.0,
"United States-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",United States,,,High income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,Yes,"According to the 2023 TCFD Status Report, the US' Securities and Exchange Commission has proposed climate-related disclosure requirements that incorporate or draw from the TCFD recommendations.

In March 2024, the Securities and Exchange Commission today adopted the rules to enhance and standardize climate-related disclosures by public companies and in public offerings. 

https://www.sec.gov/news/press-release/2024-31

Ex: The Tennessee Valley Authority. In its 2021 Sustainability report : “TCFD’s efforts are ongoing, and TVA continues to monitor, evaluate and incorporate TCFD recommendations into its public disclosure documents”. 
https://issuu.com/tva-pub/docs/tva_sustainability_report_fy2021",https://issuu.com/tva-pub/docs/tva_sustainability_report_fy2021,1.0,
United States-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,United States,,,High income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,Yes,"a) Yes, for instance the North Miami Climate Change Vulnerability Assessment and Adaptation planning (2021)

https://www.northmiamifl.gov/DocumentCenter/View/13752/CCVA-Adaptation-Planning-PDF

b) Yes, for instance LA Country Climate Action Plan, or the State of Illinois Priority Climate Action Plan

https://planning.lacounty.gov/long-range-planning/climate-action-plan/
https://epa.illinois.gov/content/dam/soi/en/web/epa/topics/climate/documents/Illinois%20Priority%20Climate%20Action%20Plan.pdf
",,1.0,
United States-Climate change framework law,United States,,,High income,Climate change framework law,Governance,CC law,Yes,Inflation Reduction Act,,1.0,
United States-National adaptation plan,United States,,,High income,National adaptation plan,Governance,NAP,Yes,2024-2027 Climate Adaptation Plan,https://www.epa.gov/system/files/documents/2024-06/epas-2024-2027-climate-adaptation-plan-508-compliant.pdf,1.0,
United States-Long-term strategy,United States,,,High income,Long-term strategy,Governance,LTS,Yes,UNFCCC,https://unfccc.int/process/the-paris-agreement/long-term-strategies,1.0,
United States-Does the country include environmental criteria in procurement tenders? Give one example,United States,,,High income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,Yes,"The OECD Survey on Green Public Procurement of 2022 states that the United States has mandatory GPP requirements.

For example, the Federal Acquisition Regulation (FAR) Part 23 - Environment, Energy and Water Efficiency, Renewable Energy Technologies, Occupational Safety, and Drug-Free Workplace states that when acquiring energy- and water-consuming products listed in the ENERGY STAR® Program or FEMP, federal agencies shall purchase ENERGY STAR® certified or FEMP-designated products.",https://www.oecd-ilibrary.org/docserver/b50de5dc-en.pdf?expires=1723483509&id=id&accname=guest&checksum=574443DD240A07C5CAF69C4E7D2CCAD6; https://www.acquisition.gov/far/part-23#FAR_23_001,1.0,
Uruguay-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Uruguay,LAC,Latin America and the Caribbean,High income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,The Uruguayan Institute of Meteorology publishes a Fire Weather Index map for all subnational units that is updated regularly.,https://www.inumet.gub.uy/tiempo/indice_de_incendios,1.0,
Uruguay-Does the national government (or other body) publish climate risk information covering all local government units?,Uruguay,LAC,Latin America and the Caribbean,High income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,Yes,"CCIA: ""Uruguay has made progress in the collection of information focused on risk and vulnerability reduction, although there are still weaknesses in its systematization, in improving inter-institutional coordination in its preparation, and in ensuring that stakeholders are empowered to use the data and tools.""",CCIA,1.0,
Uruguay-Do fiscal risk statements identify climate change-related risks?,Uruguay,LAC,Latin America and the Caribbean,High income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,No,"CCIA: Short- and long-term climate risks, as well as transition risks10, are not integrated with fiscal planning, and there is no monitoring or reporting of climate expenditures.",,0.0,
Uruguay-Is climate change reflected in the budget guidelines?,Uruguay,LAC,Latin America and the Caribbean,High income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,Yes,"CCIA: ""The 2020-2026 National Budget requires that national climate objectives be integrated into revenue and expenditure policy.""

(In Uruguay, the budget is made for 5 years.)",https://www.gub.uy/ministerio-economia-finanzas/tematica/proyecto-poder-ejecutivo,1.0,
Uruguay-Are climate-related expenditures identified in the budget and/or tracked?,Uruguay,LAC,Latin America and the Caribbean,High income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,No,No climate budget tagging.,https://www.gub.uy/ministerio-economia-finanzas/politicas-y-gestion/tomo-iii-gastos-corrientes-inversiones-0?hrt=1386,0.0,
"Uruguay-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Uruguay,LAC,Latin America and the Caribbean,High income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,No,"CCIA: ""A mature public investment system is in place; however, investment projects are evaluated primarily in relation to their environmental impact rather than their contribution to climate change or exposure to climate risks.""",CCIA,0.0,
"Uruguay-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Uruguay,LAC,Latin America and the Caribbean,High income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,No,No SOEs that reported on TCFD requirements were found. No mandatory TCFD requirements.,https://www.fsb.org/wp-content/uploads/P121023-2.pdf,0.0,
Uruguay-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Uruguay,LAC,Latin America and the Caribbean,High income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,Yes,"a) Montevideo has a risk analysis as part of the Climate Action Plan.

b) Montevideo has a Climate Action plan.",https://montevideo.gub.uy/sites/default/files/biblioteca/pac-26-febrero-2024vf2_0.pdf,1.0,
Uruguay-Climate change framework law,Uruguay,LAC,Latin America and the Caribbean,High income,Climate change framework law,Governance,CC law,No,,,0.0,
Uruguay-National adaptation plan,Uruguay,LAC,Latin America and the Caribbean,High income,National adaptation plan,Governance,NAP,Yes,"Uruguay has different NAPs for cities & infrastructure, agriculture, and the coast.",https://unfccc.int/sites/default/files/resource/NAP-Cities_and_Infrastructures-Uruguay.pdf; https://unfccc.int/sites/default/files/resource/NAP-Agriculture-Uruguay.pdf; https://unfccc.int/sites/default/files/resource/NAP-Coastal-Uruguay.pdf,1.0,
Uruguay-Long-term strategy,Uruguay,LAC,Latin America and the Caribbean,High income,Long-term strategy,Governance,LTS,Yes,https://www.climatewatchdata.org/lts-explore?locations=LAC,,1.0,
Uruguay-Does the country include environmental criteria in procurement tenders? Give one example,Uruguay,LAC,Latin America and the Caribbean,High income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,No,"Public procurement in Uruguay is primarily governed by The Texto Ordenado de Contabilidad y Administración Financiera (TOCAF). This legislation does not include any mandatory environmental criteria.

Uruguay is a participant in the 10YFP Trust Fund Project, a capacity-building initiative aimed at integrating sustainability into the country's public procurement system. This project resulted in the launch of the National Policy on Sustainable Public Procurement in 2019. This policy seeks to incorporate sustainable supply chain management and a life-cycle approach into public procurement practices. However, the Public Procurement Authority is yet to adopt and implement the policy.",https://www.oneplanetnetwork.org/sites/default/files/2022-09/Trust%20Fund%20Report_2021.pdf,0.0,"Change to Partial? PARTIAL: The Sustainable Procurement Policy was adopted in 2018, however, there has been little progress in its operationalization and implementation."
Uzbekistan-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Uzbekistan,ECA,Europe and Central Asia,Lower-middle income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,No,"CCDR: ""The Ministry of Economy and Finance (MEF) holds important implementation, coordination, and regulatory roles related to climate. The ministry is responsible for coordinating activities to promote a green economy and implement green growth principles, including reducing GHG emissions, coordinating implementation of activities under Article 6 of the Paris Agreement, and regulating and coordinating Uzbekistan’s national and international implementation and management of GHG trade""",https://openknowledge.worldbank.org/server/api/core/bitstreams/a85f766d-e26f-402d-9bbe-effddbbe70fe/content,0.0,
Uzbekistan-Does the national government (or other body) publish climate risk information covering all local government units?,Uzbekistan,ECA,Europe and Central Asia,Lower-middle income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,No,"CCIA: ""The quality and availability of climate risk and vulnerability information is hampered by the lack of a functioning climate data and IT infrastructure at national and subnational levels, which is related to the lack of capacity and training in measurement, evaluation, and statistics""",CCIA,0.0,
Uzbekistan-Do fiscal risk statements identify climate change-related risks?,Uzbekistan,ECA,Europe and Central Asia,Lower-middle income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,Info not found,"CCIA:  ""This assessment was not able to uncover official information about fiscal risks related to climate change.""",CCIA,0.0,
Uzbekistan-Is climate change reflected in the budget guidelines?,Uzbekistan,ECA,Europe and Central Asia,Lower-middle income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,Info not found,,,0.0,
Uzbekistan-Are climate-related expenditures identified in the budget and/or tracked?,Uzbekistan,ECA,Europe and Central Asia,Lower-middle income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,Yes,The Budget 2024 has climate tagging.,https://api.mf.uz/media/document_files/Citizens_Budjet_for_2024.pdf,1.0,
"Uzbekistan-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Uzbekistan,ECA,Europe and Central Asia,Lower-middle income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,No,"CCIA: ""Climate change risks and policy objectives have not been effectively mainstreamed across core infrastructure governance processes in practice. Moreover, many infrastructure investments and projects do not give adequate attention to environmental and sustainability concerns.""",CCIA,0.0,
"Uzbekistan-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Uzbekistan,ECA,Europe and Central Asia,Lower-middle income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,No,No mandatory TCFD requirements. No SOE reporting on TCFD was found.,https://www.fsb.org/wp-content/uploads/P121023-2.pdf,0.0,
Uzbekistan-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Uzbekistan,ECA,Europe and Central Asia,Lower-middle income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,No,Neither was found.,,0.0,
Uzbekistan-Climate change framework law,Uzbekistan,ECA,Europe and Central Asia,Lower-middle income,Climate change framework law,Governance,CC law,No,,,0.0,
Uzbekistan-National adaptation plan,Uzbekistan,ECA,Europe and Central Asia,Lower-middle income,National adaptation plan,Governance,NAP,No,,,0.0,
Uzbekistan-Long-term strategy,Uzbekistan,ECA,Europe and Central Asia,Lower-middle income,Long-term strategy,Governance,LTS,No,,,0.0,
Uzbekistan-Does the country include environmental criteria in procurement tenders? Give one example,Uzbekistan,ECA,Europe and Central Asia,Lower-middle income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,Partial,"Public procurement in Uzebkistan is primarily governed by Law of the Republic of Uzbekistan on Public Procurement (No. ZRU-684) (2021).

Article 32 provides the option to include environmental criteria in the evaluation of tenders. These criteria include energy efficiency, the rational use of natural resources, the use of environmentally friendly materials and secondary raw materials, as well as the adoption of renewable energy sources. These factors are encouraged but are not mandated",https://lex.uz/docs/6121273,0.5,
Vanuatu-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Vanuatu,EAP,East Asia and Pacific,Lower-middle income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,"The National Advisory Board on Climate Change and Disaster Risk Reduction (NAB) is a committee made up of senior-level representatives from key sectoral government agencies, and NGO representatives. The NAB is Vanuatu's policy making and advisory body for all disaster risk reduction and climate change programs, projects, initiatives and activities. It’s the Coordinating body to discuss and develop integrated CC and DRR policy and positions for national action and international negotiations. 

https://www.undp.org/sites/g/files/zskgke326/files/2022-09/UNDP-Global-Climate-Public-Finance-Review-2022.pdf

https://www.unescap.org/sites/default/files/Vanuatu%20Presentation,%20Rarotonga%20workshop%20sep2013.pdf 

(nab.vu website was not functional at the time of data collection). ",,1.0,
Vanuatu-Does the national government (or other body) publish climate risk information covering all local government units?,Vanuatu,EAP,East Asia and Pacific,Lower-middle income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,Yes,"Vanuatu Climate Change and Disaster Risk Reduction Policy (2016-2030) stated that the Vanuatu government has established ""an early warning system within the Vanuatu Meteorology and Geo-Hazards Department, using state-of-the-art technology"" and ""the National Disaster Management Office) is mapping tsunami risks in urban areas"". 

Vanuatu Meteorology and Geo-hazard Department website notably includes :
-	Monthly climate updates with notably rainfall levels for each region 
-	Very regular “early acion rainfall watch” with rainfall status map 
-	Climate Agriculture Reports, including water stress risks, waterlogging risks and wind damages risks for several areas

https://www.vmgd.gov.vu/vmgd/index.php
",,1.0,
Vanuatu-Do fiscal risk statements identify climate change-related risks?,Vanuatu,EAP,East Asia and Pacific,Lower-middle income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,Yes,"The 2023 Budget book describes several fiscal/budgetary risks, including climate change “which induces higher severity and frequency of natural disasters, and capacity constraints of public implementing agencies”. But it does not provide any details on these risks, nor quantify them. 

https://doft.gov.vu/images/2023/budget/Final_Volume_1__2_of_2023_Budget_Book_English.pdf

Also, the 2023 Budget policy statement sets a debt target for 2023 that it links to disaster and climate change risks, with no further details provided.  

https://doft.gov.vu/images/2023/Budget_Policy_Statement_2023_English.pdf
",,1.0,
Vanuatu-Is climate change reflected in the budget guidelines?,Vanuatu,EAP,East Asia and Pacific,Lower-middle income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,Yes,"The 2023 Budget Policy Statement sets out budget policy priorities for 2023, among which “Priority Outcome 6: Improved Resilience and Natural Resource Management”. That includes “improving climate change adaptation and disaster risk management governance – to mitigate the effects and impacts of climate change and other disasters including COVID-19 on the economy and population”. The document then lists several target outcomes related to that priority outcome. 

https://doft.gov.vu/images/2023/Budget_Policy_Statement_2023_English.pdf
",,1.0,
Vanuatu-Are climate-related expenditures identified in the budget and/or tracked?,Vanuatu,EAP,East Asia and Pacific,Lower-middle income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,No,"Vanatu prepared a Climate Public Expenditure and Institutional Review in 2014 but has not gone on to adopt comprehensive budget tagging. 
https://www.uncclearn.org/wp-content/uploads/library/Main-Report.pdf

To note: the Ministry of Climate Change tagged “climate change” expenditures in the 2023 budget, as opposed for instance to “energy”, “environment” or “executive management and corporate services”. 
https://doft.gov.vu/images/2023/budget/Final_Volume_1__2_of_2023_Budget_Book_English.pdf
",,0.0,
"Vanuatu-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Vanuatu,EAP,East Asia and Pacific,Lower-middle income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,Yes,"The Vanuatu Infrastructure Strategic Investment Plan (2015-2024) sets out the template for the recommended project profile, to be prepared by line ministries, and then used to evaluate projects’ conformity with Vanuatu policies and priorities, and prioritize projects. This template of project profile includes the following category “Resilience of Project Assets to Climate Change and Natural Disaster Risk” which includes : “Degree of resilience built into project design (high, medium, low)”; “Major climate change and natural disaster risks”; and “Main risk mitigation measures ». 
No information on whether this template was adopted.",https://cdn.climatepolicyradar.org/navigator/VUT/2015/vanuatu-infrastructure-strategic-investment-plan-2015-2024_62da4227cd913e36a51d4cba23eadad0.pdf,1.0,
"Vanuatu-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Vanuatu,EAP,East Asia and Pacific,Lower-middle income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,No,"""Pacific climate change legislation includes some elements of enforced self-regulation in relation to SOEs (at least for Papua New Guina, Fiji and Kiribati), including penalties for noncompliance, but “these obligations are piecemeal and should be revised against the TCFD”

Source: BENCHMARKING PERFORMANCE AND BUILDING CLIMATE RESILIENCE IN PACIFIC STATE-OWNED ENTERPRISES - https://www.pacificpsdi.org/assets/Uploads/Finding-Balance-2023-Web.pdf. 

No TCFD report was found for Vanuatu’s main SOEs. ",,0.0,
Vanuatu-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Vanuatu,EAP,East Asia and Pacific,Lower-middle income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,No,"a)	Existing Provincial Disaster & Climate Change Response Plans (see below) include disaster risk mappings, but that dates from 2016 and 2017. 

b)	The Tafea, Torba or the Sanma Provincial Disaster & Climate Change Response Plan (respectively 2017, 2016 and 2017). 

Example : https://ndmo.gov.vu/images/download/DisasterResponsePlan/TAFEA-Provincial-Disaster-Response-and-Climate-Change-Management-Plan_Final.pdf",,0.0,
Vanuatu-Climate change framework law,Vanuatu,EAP,East Asia and Pacific,Lower-middle income,Climate change framework law,Governance,CC law,Yes,"Meteorology, Geological hazards and Climate Change Act no 25/2016",,1.0,
Vanuatu-National adaptation plan,Vanuatu,EAP,East Asia and Pacific,Lower-middle income,National adaptation plan,Governance,NAP,No,,,0.0,
Vanuatu-Long-term strategy,Vanuatu,EAP,East Asia and Pacific,Lower-middle income,Long-term strategy,Governance,LTS,Yes,LTS https://unfccc.int/sites/default/files/resource/Vanuatu-Low-Emission_v06_RC_LQ_compressed%201.pdf,,1.0,
Vanuatu-Does the country include environmental criteria in procurement tenders? Give one example,Vanuatu,EAP,East Asia and Pacific,Lower-middle income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,Partial,"The Government Contracts and Tenders Regulation Consolidation Edition 2021 includes provisions that touch on environmental sustainability within the procurement process. Specifically, Clause 15, which outlines general requirements for tender evaluation, mentions that the evaluation process must consider both financial and non-financial factors, including the ""environmental sustainability of the proposed goods or services""​. However, these represent more of a framework allowing for environmental consideration rather than specific mandatory criteria.",https://ctb.gov.vu/en/legislation/tender-regulation,0.5,
Viet Nam-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Viet Nam,EAP,East Asia and Pacific,Lower-middle income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,The National Steering Committee is in charge of assisting the Government chief in directing and coordinating interdisciplinary work on Viet Nam’s commitments,https://primeminister.chinhphu.vn/national-steering-committee-on-climate-change-commitment-realization-set-up-11240859.htm,1.0,
Viet Nam-Does the national government (or other body) publish climate risk information covering all local government units?,Viet Nam,EAP,East Asia and Pacific,Lower-middle income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,No,"The Vietnam National Center for Meteorological and Hydrological Administration publishes flood and landslides risks maps but they are currently ""under update"" and cannot be visualised.",https://nchmf.gov.vn/Kttv/vi-VN/1/rui-ro-thien-tai-lu-quet-sat-lo-2017-15.html,0.0,
Viet Nam-Do fiscal risk statements identify climate change-related risks?,Viet Nam,EAP,East Asia and Pacific,Lower-middle income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,Info not found,No fiscal risk statement was found.,,0.0,
Viet Nam-Is climate change reflected in the budget guidelines?,Viet Nam,EAP,East Asia and Pacific,Lower-middle income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,Info not found,No budget guidelines were found.,,0.0,
Viet Nam-Are climate-related expenditures identified in the budget and/or tracked?,Viet Nam,EAP,East Asia and Pacific,Lower-middle income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,No,"CDDR: Recommendation: ""systematically tagging and monitoring those expenditures in the budgets of the central and local governments"". 

Comprehensive budget documents were not found.",https://openknowledge.worldbank.org/server/api/core/bitstreams/a27f1b05-910d-59ab-ba2c-84206bf107c2/content,0.0,
"Viet Nam-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Viet Nam,EAP,East Asia and Pacific,Lower-middle income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,No,"CCDR: ""Recommendation: adoption of methodologies that will help adjust public investment management and procurement to climate change risks (such as risk assessment, tagging climate spending in budget systems, criteria for public contracts).""",https://openknowledge.worldbank.org/server/api/core/bitstreams/a27f1b05-910d-59ab-ba2c-84206bf107c2/content,0.0,
"Viet Nam-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Viet Nam,EAP,East Asia and Pacific,Lower-middle income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,No,No mandatory requirement. No SOEs were found to report on TCFD.,https://www.fsb.org/wp-content/uploads/P121023-2.pdf,0.0,
Viet Nam-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Viet Nam,EAP,East Asia and Pacific,Lower-middle income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,Yes,"a) Da Nang city  Climate Action Plan has a risk assessment.

b) Da Nang city has a local Climate Action Plan.",https://www.iges.or.jp/en/publication_documents/pub/policysubmission/en/12419/Da+Nang+climate+action+plan_0.pdf,1.0,
Viet Nam-Climate change framework law,Viet Nam,EAP,East Asia and Pacific,Lower-middle income,Climate change framework law,Governance,CC law,Yes,Law on Environment Protection,,1.0,
Viet Nam-National adaptation plan,Viet Nam,EAP,East Asia and Pacific,Lower-middle income,National adaptation plan,Governance,NAP,Yes,"National Adaptation Plan for the period 2021-2030, with a vision to 2050",https://www.undp.org/vietnam/publications/national-adaptation-plan-period-2021-2030-vision-2050,1.0,
Viet Nam-Long-term strategy,Viet Nam,EAP,East Asia and Pacific,Lower-middle income,Long-term strategy,Governance,LTS,No,NAP https://www.undp.org/vietnam/publications/national-adaptation-plan-period-2021-2030-vision-2050,,0.0,
Viet Nam-Does the country include environmental criteria in procurement tenders? Give one example,Viet Nam,EAP,East Asia and Pacific,Lower-middle income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,Partial,"Public procurement in Vietnam is primarily governed by the Law on Public Procurement (Law No. 43/2013/QH13). This legislation does not include any mandatory environmental criteria.

However, Vietnam does have initiatives that promote environmentally sustainable procurement such as Vietnam Green Label. This is a national ecolabeling program that certifies environmentally friendly products in Vietnam. However, this scheme is voluntary. 
",https://www.ecomark.jp/pdf/20171207Vietnam.pdf,0.5,
West Bank and Gaza-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,West Bank and Gaza,MNA,Middle East and North Africa,Upper-middle income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,"The National Climate Change Committee (NCCC), chaired by Environment Quality Authority (EQA), comprises various line ministries and sectoral entities and meets on an ad hoc basis, and generally at the request of international partners. A review of the NCCC’s membership and coordination mechanism would help identify under-represented stakeholder groups (e.g., the private sector, women, informal workers, etc.) and provide recommendations to enhance its impact”.  Besides, “improving coordination across government agencies and levels of government remains a challenge, and the EQA lacks the staff to fulfill its coordinating role.”
Source : CCDR West Bank and Gaza (2023)
",,1.0,
West Bank and Gaza-Does the national government (or other body) publish climate risk information covering all local government units?,West Bank and Gaza,MNA,Middle East and North Africa,Upper-middle income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,No,"According to the National Adaptation Plan (2016), Palestine lacks a “comprehensive and readily accessible digitized database of ongoing weather and climate observations to World Meteorological Organization standards”. On the Palestinian Meteorological Department website, no climate bulletin was downloaded after 2018 and no climate hazard vulnerability maps is available. https://www.pmd.ps",,0.0,
West Bank and Gaza-Do fiscal risk statements identify climate change-related risks?,West Bank and Gaza,MNA,Middle East and North Africa,Upper-middle income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,No,"“The Palestinian Authority has yet to identify climate-related fiscal risks or screen public investments through a climate-change lens ».

Source: CCDR West Bank and Gaza (2023)",,0.0,
West Bank and Gaza-Is climate change reflected in the budget guidelines?,West Bank and Gaza,MNA,Middle East and North Africa,Upper-middle income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,Info not found,"
",,0.0,
West Bank and Gaza-Are climate-related expenditures identified in the budget and/or tracked?,West Bank and Gaza,MNA,Middle East and North Africa,Upper-middle income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,No,"“It is intended that the State of Palestine’s Climate Change Financing Framework will consider various approaches to ensuring that climate finance flows are reported transparently. These include: 

a) Climate-budget tagging for tracking and monitoring expenditure related to the NDC Partnership Plan to provide clarity about where funding gaps remain. 

b) Establishing clear climate change budgeting and appraisal guidelines to identify funding gaps and provide investors with clarity”. 

Source : The State of Palestine’s First Nationally Determined Contributions (NDCs) “Updated Submission” (2021)
https://cdn.climatepolicyradar.org/navigator/PSE/1900/state-of-palestine-first-ndc-updated-submission_fec3e4ca314d7ae398f3a4a8693c5b80.pdf",,0.0,
"West Bank and Gaza-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",West Bank and Gaza,MNA,Middle East and North Africa,Upper-middle income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,No,"“The Palestinian Authority has yet to identify climate-related fiscal risks or screen public investments through a climate-change lens ».

Source : CCDR West Bank and Gaza (2023)",,0.0,
"West Bank and Gaza-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",West Bank and Gaza,MNA,Middle East and North Africa,Upper-middle income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,No,No TCFD report published by a Palestinian SOE was found online.,,0.0,
West Bank and Gaza-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,West Bank and Gaza,MNA,Middle East and North Africa,Upper-middle income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,No,No subnational-level climate change policy nor climate risk assessment was found online.,,0.0,
West Bank and Gaza-Climate change framework law,West Bank and Gaza,MNA,Middle East and North Africa,Upper-middle income,Climate change framework law,Governance,CC law,No,,,0.0,
West Bank and Gaza-National adaptation plan,West Bank and Gaza,MNA,Middle East and North Africa,Upper-middle income,National adaptation plan,Governance,NAP,Yes,NAP to Climate Change,https://unfccc.int/sites/default/files/resource/National%20Adaptation%20Plan_%20State%20of%20Palestine.pdf,1.0,
